image num: 1, mae: 128607.592773
image num: 2, mae: 98804.1152344
image num: 3, mae: 67576.9609375
image num: 4, mae: 43457.9655762
image num: 5, mae: 2229.6020813
image num: 6, mae: 1036.57154083
image num: 7, mae: 5036.63479614
image num: 8, mae: 256.887371063
image num: 9, mae: 511.071480393
image num: 10, mae: 1900.47628403
image num: 11, mae: 922.365839273
image num: 12, mae: 1520.30772018
image num: 13, mae: 919.166122437
image num: 14, mae: 846.027999878
image num: 15, mae: 290.946418762
image num: 16, mae: 585.245057881
image num: 17, mae: 820.056491852
image num: 18, mae: 829.1484375
image num: 19, mae: 2258.84906584
image num: 20, mae: 1137.9565649
image num: 21, mae: 516.265903473
image num: 22, mae: 1046.13264084
image num: 23, mae: 398.817866325
image num: 24, mae: nan
image num: 25, mae: nan
